,Theme,Name
75,OLED(유기 발광 다이오드),"['코디', '파인텍', '로보스타', '윈텍', '선익시스템', '핌스', '티로보틱스', 'LG디스플레이', 'LG화학', '한솔케미칼', '참엔지니어링', 'LG전자', '동아엘텍', '나노신소재', '천보', '피엔에이치테크', '영우디에스피', '미래컴퍼니', '한솔아이원스', '제이스텍', '에스에이티이엔지', '에스엔유', '이엘피', 'PI첨단소재', '브이원텍', '디바이스이엔지', '예선테크', '솔루스첨단소재', '탑엔지니어링', '상아프론테크', '원익IPS', 'AP시스템', '한송네오텍', '명성티엔에스', '이큐셀', '아이컴포넌트', '엘아이에스', '에스에프에이', '나래나노텍', '스마트솔루션즈', '와이투솔루션', '삼성전자', '제이엠티', 'HB솔루션', '비아트론', '웰킵스하이텍', '에프엔에스테크', '와이엠씨', '이녹스첨단소재', '디아이티', '포인트엔지니어링', '아바코', 'LX세미콘', '신도기연', 'APS', '필옵틱스', '엘오티베큠', '프로이천', '톱텍', '램테크놀러지', '풍원정밀', '엘디티', '원익머트리얼즈', '덕산테코피아', '케이피에스', '뉴파워프라즈마', '인베니아', '티에스이', '베셀', '야스', '우리넷', 'HB테크놀러지', '주성엔지니어링', '아이씨디', 'DMS', '힘스', '나인테크', '덕산네오룩스', '케이엔제이', '예스티']"
76,자원개발,"['GS', '포스코인터내셔널', 'LX인터내셔널', 'SK이노베이션', 'SK네트웍스', '삼성물산', '한국가스공사', '서울가스', '현대코퍼레이션', '비엘팜텍', 'GS글로벌', '큐로홀딩스', '플레이그램', '대성산업', '엘컴텍', '에스아이리소스']"
77,전력저장장치(ESS),"['포스코DX', '알에스오토메이션', '피엔티', '유일에너테크', 'LG화학', 'LG전자', '세방전지', '삼성SDI', 'SK이노베이션', '엠플러스', '씨아이에스', 'HD현대에너지솔루션', 'LG에너지솔루션', '비나텍', '와이엠텍', 'SK디앤디', '상아프론테크', '효성중공업', '삼화콘덴서', '서진시스템', '비츠로셀', '티에스넥스젠', 'LS ELECTRIC', '삼화전기', '한전산업', '신성이엔지', '파워로직스', '지투파워', '원익피앤이', '삼진엘앤디', '플래스크', '윌링스']"
78,2차전지,"['디이엔티', '동화기업', '대한유화', '필에너지', '윈텍', '켐트로스', '상신이디피', 'POSCO홀딩스', '코윈테크', '에이프로', '피엔티', '동원시스템즈', '유일에너테크', '윤성에프앤씨', '신성델타테크', '고려아연', '자이글', 'SK아이이테크놀로지', '신흥에스이씨', 'LG화학', '한솔케미칼', '후성', '세방전지', '포스코퓨처엠', '티에스아이', 'TCC스틸', '나노신소재', '천보', '코스모신소재', '더블유씨피', '삼성SDI', 'SK이노베이션', '엠플러스', '이수스페셜티케미컬', 'DI동일', '미래컴퍼니', '씨아이에스', '자비스', '원준', 'SKC', '조일알미늄', '테이팩스', '엘앤에프', 'LG에너지솔루션', '성일하이텍', '금양', '탑머티리얼', '지아이텍', '세아메카닉스', 'PI첨단소재', '브이원텍', '이랜텍', '이수화학', '제이오', '초록뱀이앤엠', '대보마그네틱', '에코프로비엠', '솔루스첨단소재', '탑엔지니어링', '글로벌에스엠', '새빗켐', '상아프론테크', '한농화성', '율촌화학', '동국알앤에스', '롯데에너지머티리얼즈', '하나기술', 'KG케미칼', '성우하이텍', '황금에스티', '이아이디', '엘아이에스', '한송네오텍', '명성티엔에스', '엔켐', '대성하이텍', '나라엠앤디', '이녹스', '코이즈', '넥스트아이', '삼아알미늄', '에스코넥', '유에스티', '케스피온', '쎄노텍', '아이티엠반도체', '디아이티', '엔시스', '알멕', '이엔플러스', '서원인텍', '코스모화학', '광무', '미코', '아바코', '알루코', '에이치와이티씨', '웰크론한텍', '파워로직스', '필옵틱스', '디에이테크놀로지', '대주전자재료', '이노메트리', '에이에프더블류', '원익피앤이', '오션브릿지', '톱텍', '파워넷', '애경케미칼', '케이엔솔', '솔브레인', '영화테크', '덕산테코피아', '삼진엘앤디', '솔브레인홀딩스', '펨트론', '조광페인트', 'HB테크놀러지', '알엔투테크놀로지', '레몬', '나인테크', '엠케이전자', '에코프로', '우신시스템', '에코앤드림', '나노팀', '삼기이브이']"
79,토스(toss),"['다올투자증권', '하나금융지주', '한화투자증권', '한국전자인증', '대신정보통신', '이월드', '엔비티']"
80,모바일게임(스마트폰),"['넵튠', '플레이위드', '한빛소프트', '모비릭스', '티쓰리', '네오위즈', '이스트소프트', '바른손이앤에이', '베노티앤알', '케이바이오', '웹젠', '넷마블', '카카오게임즈', '크래프톤', '룽투코리아', '미투젠', '펄어비스', '위메이드플레이', '넥슨게임즈', '컴투스', '세원이앤씨', '베스파', '액토즈소프트', '와이제이엠게임즈', 'KH 전자', '액션스퀘어', '스카이문스테크놀로지', '위메이드맥스', '위메이드', '엔씨소프트', '조이시티', '밸로프', '네오리진', '아이톡시', '미투온', '미스터블루', '컴투스홀딩스', 'NHN', '엠게임', '드래곤플라이', '더블유게임즈', 'NAVER', '바른손', '썸에이지', '에이프로젠 H&G', '네오위즈홀딩스', '데브시스터즈']"
81,K-뉴딜지수(바이오),"['에스디바이오센서', '씨젠', '셀트리온', '셀트리온제약', '셀트리온헬스케어', 'SK바이오사이언스', '한미약품', '삼성바이오로직스', '유한양행', '녹십자', 'SK바이오팜', '한미사이언스', '알테오젠']"
82,테마명,[]
83,토스(toss),"['다올투자증권', '하나금융지주', '한화투자증권', '한국전자인증', '대신정보통신', '이월드', '엔비티']"
84,남-북-러 가스관사업,"['세아제강', '휴스틸', '대동스틸', '하이스틸', 'SK오션플랜트', '디케이락', '문배철강', '동양에스텍', '부국철강', '조광ILI', '화성밸브', '삼현철강', '엔케이', '동양철관', '이엠코리아']"
85,보안주(물리),"['이랜시스', '씨유박스', '시티랩스', '피제이전자', '에스원', '싸이버원', '앤씨앤', '한화에어로스페이스', '이노뎁', '뉴지랩파마', 'ITX-AI', '하이트론', '인콘', '아이디스', '슈프리마', '슈프리마에이치큐', '벨로크', '현대에이치티', '포커스에이치엔에스', '트루엔', '픽셀플러스']"
86,K-뉴딜지수(바이오),"['에스디바이오센서', '씨젠', '셀트리온', '셀트리온제약', '셀트리온헬스케어', 'SK바이오사이언스', '한미약품', '삼성바이오로직스', '녹십자', '유한양행', 'SK바이오팜', '한미사이언스', '알테오젠']"
87,2차전지(소재/부품),"['동화기업', '대한유화', '켐트로스', '상신이디피', 'POSCO홀딩스', '동원시스템즈', '신성델타테크', '고려아연', 'SK아이이테크놀로지', '신흥에스이씨', 'LG화학', '한솔케미칼', '후성', '포스코퓨처엠', 'TCC스틸', '나노신소재', '천보', '코스모신소재', '더블유씨피', 'DI동일', 'SKC', '조일알미늄', '테이팩스', '엘앤에프', '금양', '이랜텍', 'PI첨단소재', '초록뱀이앤엠', '에코프로비엠', '솔루스첨단소재', '글로벌에스엠', '상아프론테크', '한농화성', '율촌화학', '동국알앤에스', '롯데에너지머티리얼즈', '엘아이에스', '한송네오텍', '이아이디', '엔켐', 'KG케미칼', '성우하이텍', '황금에스티', '나라엠앤디', '삼아알미늄', '이녹스', '에스코넥', '유에스티', '쎄노텍', '아이티엠반도체', '알멕', '이엔플러스', '서원인텍', '코스모화학', '광무', '알루코', '파워로직스', '대주전자재료', '에이에프더블류', '애경케미칼', '솔브레인', '영화테크', '조광페인트', '알엔투테크놀로지', '삼진엘앤디', '엠케이전자', '에코프로', '에코앤드림', '나노팀', '삼기이브이']"
88,네옴시티,"['유신', '세아베스틸지주', '현대건설', '도화엔지니어링', '코오롱글로벌', '다스코', '세아홀딩스', '제이엔케이히터', 'SM Life Design', '에스엠', '대한전선', '삼성물산', '세아특수강', '수성샐바시온', '비엠티', '희림', '성신양회', 'SNT에너지', 'SM C&C', '슈프리마', '인디에프', 'LS전선아시아', '한미글로벌', '비츠로시스']"
89,메타버스(Metaverse),"['넵튠', '씨이랩', '버넥트', '선익시스템', '한빛소프트', '아진엑스텍', '바이브컴퍼니', 'CJ ENM', '스코넥', '셀바스AI', '덱스터', '위지윅스튜디오', '주연테크', '이랜텍', '알체라', '엔피', '핑거', 'LG유플러스', '디어유', '카카오', '펄어비스', '지니뮤직', '이노뎁', '컴투스', '와이제이엠게임즈', '대성창투', 'NPC', 'LG이노텍', 'SK텔레콤', '에스코넥', '현대차', 'KT', '다보링크', 'iMBC', '웨이버스', '위세아이텍', '에이트원', '비트나인', '한글과컴퓨터', 'SBS', '미투온', '비비안', '신도기연', '칩스앤미디어', '뉴프렉스', '엠게임', '드래곤플라이', '큐에스아이', 'NAVER', '맥스트', '엔비티', '옵티시스', '엘엠에스', '자이언트스텝', 'EDGC', '크레버스', '코세스', '에스넷']"
90,LCD장비,"['디에스케이', '디이엔티', '로보스타', '윈텍', '피엔티', '티로보틱스', '참엔지니어링', '동아엘텍', '미래컴퍼니', '제이스텍', '에스엔유', '이엘피', '브이원텍', '탑엔지니어링', '상아프론테크', '원익IPS', 'AP시스템', '한양이엔지', '에스에프에이', '명성티엔에스', '스마트솔루션즈', '로체시스템즈', 'HB솔루션', '넥스트아이', '비아트론', '씨앤지하이테크', '디아이티', '포인트엔지니어링', '아바코', '신성이엔지', '엘오티베큠', '톱텍', '테크윙', '케이씨텍', '인베니아', '베셀', 'HB테크놀러지', '제우스', '주성엔지니어링', '아이씨디', 'DMS', '케이엔제이', '예스티', '에스티아이']"
91,소매유통,"['롯데쇼핑', '대구백화점', 'CJ ENM', '신세계', 'GS리테일', '현대백화점', '이마트', '한화갤러리아', '위니아에이드', '현대홈쇼핑', '호텔신라', '광주신세계', '그래디언트', '베뉴지', '아이에스이커머스', '지어소프트', 'BGF리테일', '커넥트웨이브', '세이브존I&C', '롯데하이마트', '청담글로벌']"
92,희귀금속(희토류 등),"['POSCO홀딩스', 'LX인터내셔널', '유니온', 'EG', '에코볼트', '유니온머티리얼', '동국알앤에스', '세토피아', '쎄노텍', '대원화성', '티플랙스', '노바텍', '삼화전자']"
93,항공/저가 항공사(LCC),"['티웨이홀딩스', '한진칼', '대한항공', '티웨이항공', '아시아나항공', 'AK홀딩스', '진에어', '제주항공', '에어부산']"
94,철도,"['에스피지', '우림피티에스', '유신', '현대제철', '푸른기술', '도화엔지니어링', '하이록코리아', '제룡전기', '한국종합기술', '현대로템', '대아티아이', '동아지질', '서암기계공업', '우원개발', '피앤씨테크', '황금에스티', '서한', '선도전기', '남광토건', '다원시스', '동일제강', '대원전선', '에스트래픽', '특수건설', '대양전기공업', '삼현철강', '비츠로테크', '알루코', '메디콕스', '부산산업', '이엠코리아', '국영지앤엠', '세명전기', '빛샘전자', '비츠로시스', '우리기술', '대호에이엘', '리노스', '옵티시스', '케이씨에스', '우리넷', '삼일씨엔에스', 'HDC랩스', '와이어블']"
95,철강 중소형,"['만호제강', 'NI스틸', '휴스틸', '동국산업', 'TCC스틸', '대동스틸', '하이스틸', 'SK오션플랜트', '현대비앤지스틸', '한국특강', '문배철강', '경남스틸', '동양에스텍', '아주스틸', '코메론', 'DSR제강', '부국철강', '금강공업', '원일특강', '한국주철관', '동일제강', '유에스티', '금강철강', '삼현철강', '동양철관', '동일산업', '신스틸', '대호특수강', '영흥', '제이스코홀딩스', '한일철강', 'SHD', '화인베스틸', '동일철강']"
96,인터넷은행,"['포스코DX', '라온시큐어', '한국금융지주', 'GS리테일', 'NICE평가정보', '알서포트', '넷마블', '인지소프트', '한국정보인증', 'KB금융', '헥토이노베이션', '인포뱅크', '한국전자인증', '카카오뱅크', '카카오', '다날', '한컴위드', 'NH투자증권', '한세예스24홀딩스', '비케이탑스', '이니텍', '인포바인', '시큐브', '코나아이', '한화생명', 'KG이니시스', 'KT', '현대이지웰', 'KG모빌리언스', '이글루', '브리지텍', '예스24', '드림시큐리티', '엑셈']"
97,무선충전기술,"['포스코DX', 'LG전자', '이랜텍', '삼성전기', '한솔테크닉스', 'LS', 'LG이노텍', '삼성전자', '웰킵스하이텍', '알에프텍', '아모센스', '켐트로닉스', '비에이치']"
98,제지,"['페이퍼코리아', '한국수출포장', '신풍', '무림SP', '깨끗한나라', '한국제지', '한창제지', '국일제지', '무림P&P', '삼정펄프', '무림페이퍼', '아세아제지', '한솔제지', '해성산업']"
99,STO(증권형 토큰 발행),"['키움증권', '한국금융지주', '갤럭시아에스엠', '한국정보인증', '하나금융지주', 'KB금융', '핑거', '신한지주', '케이옥션', '코리아에셋투자증권', 'NH투자증권', '아톤', '갤럭시아머니트리', 'SK증권', 'FSN', '교보증권', '에이트원', '서울옥션', '우리기술투자']"
100,태양광에너지,"['대성파인텍', '에스와이', 'KCC', '지앤비에스 에코', '알에스오토메이션', '한화', '한화솔루션', 'LG전자', '나노신소재', '도화엔지니어링', '코오롱글로벌', '다스코', 'SKC', 'HD현대에너지솔루션', 'HD한국조선해양', '에스엔유', 'OCI', 'OCI홀딩스', '삼성물산', '레이크머티리얼즈', '한국전력', '티씨케이', '수산인더스트리', 'SK디앤디', '혜인', '원익IPS', 'KC코트렐', '에스에프에이', '한솔테크닉스', '다원시스', '대명에너지', '파루', 'LS ELECTRIC', 'DGP', '유니테스트', '매커스', '테스', '아바코', '코드네이처', 'SDN', '신성이엔지', '이건홀딩스', 'KC그린홀딩스', '지투파워', '엘오티베큠', '한미반도체', '대주전자재료', '톱텍', '에스에너지', '광명전기', '에스폴리텍', '제우스', '코미코', '주성엔지니어링', '뉴인텍', '금양그린파워', '윌링스']"
101,AI 챗봇(챗GPT 등),"['코난테크놀로지', '솔트룩스', '플리토', '바이브컴퍼니', '브레인즈컴퍼니', '유엔젤', '데이타솔루션', '셀바스AI', '이스트소프트', '인포뱅크', '카카오', '폴라리스오피스', '영림원소프트랩', '삼성에스디에스', '글로벌텍스프리', '비트나인', '한글과컴퓨터', '브리지텍', 'NAVER', '리노스', '엑셈', '이수페타시스', '마음AI']"
102,K-뉴딜지수,"['LG화학', '후성', '포스코퓨처엠', '천보', '삼성SDI', 'SK이노베이션', '씨젠', '네오위즈', 'SKC', '웹젠', '넷마블', '셀트리온', '셀트리온제약', '아프리카TV', '에코프로비엠', '셀트리온헬스케어', '솔루스첨단소재', '카카오', '펄어비스', '안랩', '롯데에너지머티리얼즈', '한미약품', '삼성바이오로직스', '컴투스', '유비쿼스홀딩스', '유한양행', '위메이드', '엔씨소프트', '서진시스템', 'KG이니시스', 'NHN KCP', 'SK바이오팜', '케이엠더블유', 'NHN', '골프존', '한미사이언스', 'NAVER', '더블유게임즈', '더존비즈온', '알테오젠']"
103,시스템반도체,"['파두', '하나마이크론', 'SFA반도체', '케이알엠', '이미지스', '에이엘티', '아진엑스텍', '큐알티', '에이디테크놀로지', '오픈엣지테크놀로지', '텔레칩스', '시지트로닉스', '오디텍', '피에스케이', '자람테크놀로지', '아나패스', '앤씨앤', '어보브반도체', '네패스', '고영', '리노공업', '알파홀딩스', '티엘아이', '에이티세미콘', '삼성전자', '윈팩', '매커스', '디아이', 'LB세미콘', '에이디칩스', '아이앤씨', 'LX세미콘', 'LB루셈', '아이텍', '칩스앤미디어', '아이에이', '가온칩스', '지니틱스', '한미반도체', '에스앤에스텍', 'DB하이텍', '테크윙', '시그네틱스', 'SK하이닉스', '코아시아', '미래반도체', '네패스아크', '두산테스나', '넥스트칩', '라닉스']"
104,UAM(도심항공모빌리티),"['GS', '서연이화', '현대건설', '넥센타이어', '퍼스텍', '대한항공', '한화시스템', '파이버프로', '한국카본', 'LG유플러스', '카카오', '한화에어로스페이스', '남성', 'SK텔레콤', '현대차', 'KT', 'LIG넥스원', '제주항공', '하이즈항공', '한국항공우주', '네온테크', '켄코아에어로스페이스', '베셀', '기산텔레콤']"
105,아스콘(아스팔트 콘크리트),"['한국석유', '극동유화', '유진기업', '콤텍시스템', '보광산업', '스페코', '엔피케이', '홈센타홀딩스', 'SG']"
106,탈모 치료,"['스피어파워', '올릭스', '아이엘사이언스', '강스템바이오텍', '대웅제약', 'TS트릴리온', '인벤티지랩', '에스디생명공학', '이노진', '현대약품', '프롬바이오', '바이오니아', '인스코비', '보령', '안트로젠', '동성제약', '피플바이오', '현대바이오랜드', '위더스제약', '메타랩스', 'JW신약', '인산가']"
107,코로나19(렘데시비르),"['에스티팜', '비씨월드제약', '파미셀']"
108,폐기물처리,"['제넨바이오', '와이엔텍', '태영건설', '서한', '코엔텍', '한솔홀딩스', '인선이엔티', 'KC그린홀딩스', 'KG ETS']"
109,두나무(Dunamu),"['코오롱인더', '스톤브릿지벤처스', 'TS인베스트먼트', '에이티넘인베스트', '한화투자증권', '카카오', '코오롱', '대성창투', 'DSC인베스트먼트', '신성이엔지', '우리기술투자', '바른손']"
110,모더나(MODERNA),"['에스티팜', '바른손이앤에이', '엔투텍', '대한뉴팜', '소마젠', '삼성바이오로직스', '녹십자', '에이비프로바이오', '파미셀', '바른손']"
111,2022 하반기 신규상장,"['Ņ°ĹļļŮļŮŇ◊Ň©', 'ńŕ≥≠Ň◊Ň©≥Ó∑őŃŲ', 'ĺ∆ņŐĺĺŅ°ņŐń°', 'HPSP', '∑Áī÷', 'ĻŔņŐŅņ≥Ž∆ģ', 'ņĪľļŅ°«Ńĺōĺĺ', 'Ň•ĺň∆ľ', 'īļ∑őłřńę', 'ļŮĹļŇšĹļ', 'īűļŪņĮĺĺ««', 'SAMGŅ£ŇÕ', '∆ľĺ≤łģ', 'Ņņ«¬ŅßŃŲŇ◊Ň©≥Ó∑őŃŲ', 'ń…ņŐļŮŃ¶23»£Ĺļ∆—', 'ľļņŌ«ŌņŐŇō', 'Ňĺł”∆ľłģĺů', 'ĹŇŅĶĹļ∆—8»£', '«Ō≥™Ī›ņ∂24»£Ĺļ∆—', 'Ņ£Ņ°ņŐń°Ĺļ∆—26»£', 'ĽűļÝńÕ', 'ľŲĽÍņőīűĹļ∆ģłģ', 'ņőļ•∆ľŃŲ∑¶', 'ĽÔľļĹļ∆—7»£', 'Ņ£Ņ°ņŐń°Ĺļ∆—24»£', '«Ō≥™Ī›ņ∂23»£Ĺļ∆—', 'IBKSŃ¶19»£Ĺļ∆—', 'Ņ°Ĺļń…ņŐŃűĪ«Ń¶8»£Ĺļ∆—', 'ń…ņŐļŮŃ¶22»£Ĺļ∆—', 'Ņ£Ņ°ņŐń°Ĺļ∆—25»£', '«—ĪĻŃ¶11»£Ĺļ∆—', 'ŇįŅÚŃ¶7»£Ĺļ∆—', '«Ō≥™Ī›ņ∂25»£Ĺļ∆—', 'IBKSŃ¶21»£Ĺļ∆—', 'ņĮŃÝĹļ∆—9»£', 'ĽÍĶĻ', 'īŽľļ«ŌņŐŇō', 'Ķū∆ľĺōĺĺĺňŅņ', 'ņķĹļŇŘ', 'ņĮĺ»ŇłŃ¶10»£Ĺļ∆—', 'ņŐ≥Ž∑ÍĹļ', 'ĹŇŅĶĹļ∆—9»£', '«—»≠«√∑ĮĹļŃ¶3»£Ĺļ∆—', 'Ņ£Ņ°ņŐń°Ĺļ∆—27»£', 'īŽĹŇĻŽ∑ĪĹļŃ¶14»£Ĺļ∆—', 'Ņ°ņŐń°ŅÕņŐ∆ľĺĺ', 'ļŮŅ£ń…ņŐŃ¶1»£Ĺļ∆—', 'Ņ£Ń¨', 'Ņ…∆ľńŕĺÓ', 'ņĮĺ»ŇłŃ¶9»£Ĺļ∆—', 'IBKSŃ¶20»£Ĺļ∆—', 'łūĶ®ľ÷∑Áľ«', 'īŽĹŇĻŽ∑ĪĹļŃ¶13»£Ĺļ∆—', 'ĹŇĹļ∆Ņ', 'ĽĢ∆š∑–', 'ľĪĻŔņŐŅņ', 'ņĮļŮŅ¬', 'ļß∑őŇ©', 'Ī≥ļł13»£Ĺļ∆—', '∆Ť∆ģ∑–', '«…Ňŕ', 'ŅÕņŐĺĺńÕ', 'ŅņŅ°Ĺļ««', 'KBĹļŇłłģ√ų', '∆ľŅ°«ŃņŐ', 'ĺň««ĻŔņŐŅņ', '«őįŇĹļŇšłģ', 'Ń¶ņŐĺ∆ņŐŇ◊Ň©', '«√∂ůŃÓł', '≥ōĹļ∆ģń®', 'Ņ°ņŐ«ŃłĪĻŔņŐŅņ', 'ĹÓńę']"
112,비철금속,"['포스코엠텍', '피제이메탈', '고려아연', '풍산', '영풍', 'DI동일', '조일알미늄', '현대비앤지스틸', '풍산홀딩스', '쎄니트', '그린플러스', '이구산업', '황금에스티', '남선알미늄', '삼아알미늄', '알멕', '티플랙스', '대창', '서원', '알루코', '대유플러스', '태경산업', '대양금속', '코센', '대호에이엘', '한주라이트메탈', '국일신동']"
113,남북경협,"['삼부토건', '한국석유', '현대건설', '도화엔지니어링', '다스코', '롯데정밀화학', '재영솔루텍', '한국전력', '세운메디칼', 'KH 건설', '좋은사람들', '남해화학', '조비', '경농', '남광토건', '녹십자', '제이에스티나', '양지사', '일신석재', '현대엘리베이', '희림', '스페코', '신원', '지엔씨에너지', '인지컨트롤스', '인디에프', '남화토건', '코데즈컴바인', '자화전자', '아난티', '한창']"
114,수자원(양적/질적 개선),"['유신', '엔바이오니아', 'LG전자', 'GS건설', 'CSA 코스믹', '도화엔지니어링', '코오롱글로벌', '코웨이', '하이스틸', '한국종합기술', '태영건설', '와토스코리아', 'KG케미칼', '삼성엔지니어링', '한국주철관', '코오롱생명과학', '대우건설', '에너토크', '자연과환경', '동양철관', '금호건설', '웰크론한텍', '티와이홀딩스', '뉴보텍', 'TKG애강', '두산에너빌리티', '비츠로시스', '우리기술', '시노펙스']"
115,화폐/금융자동화기기(디지털화폐 등),"['푸른기술', '풍산', '프리엠스', '카카오페이', '청호ICT', '한네트', '로지시스', '케이씨티', '누리플렉스', '한국전자금융', '케이씨에스']"
116,조선기자재,"['성광벤드', '태광', 'STX중공업', '하이록코리아', 'SK오션플랜트', '한국카본', '동성화인텍', '세진중공업', 'HSD엔진', 'STX엔진', '에스앤더블류', '일승', '대창솔루션', '한라IMS', '삼영엠텍', '조광ILI', '삼영이엔씨', '비엠티', '대양전기공업', '케이프', '케이에스피', '인화정공', '메디콕스', '상상인인더스트리', '동방선기', '오리엔탈정공', '화인베스틸', '태웅']"
117,자동차 대표주,"['현대모비스', '현대위아', '기아', 'HL만도', 'KG모빌리티', '현대차', '한온시스템']"
118,블록체인,"['한빛소프트', '라온시큐어', '시티랩스', 'LG', '케이엘넷', '주연테크', 'SK', '한국전자인증', '카카오', '유수홀딩스', '디에스앤엘', '이니텍', '한컴위드', '셀피글로벌', '대성창투', 'SBI핀테크솔루션즈', '삼성에스디에스', '위메이드', '시큐브', 'SK텔레콤', '롯데정보통신', '파수', 'KT', '네오티스', 'NAVER', '케이사인', '드림시큐리티', 'SGA솔루션즈', '네오위즈홀딩스']"
119,스마트그리드(지능형전력망),"['НКИЦ', 'ЦїНКФкDX', 'ЧЧПЁНКХи', 'ЧЧОиООХзХЉ', 'ЛяШ\xadФмЕЇМ\xad', 'КёУїЗЮМП', 'РЮНКФкКё', 'LS ELECTRIC', 'ДЉИЎЧУЗКНК', 'РЯСјШІЕљНК', 'ЧбРќЛъОї', 'ПШДЯНУНКХл', 'ОЦРЬОиОО', 'РЬБлЗч', 'ФкФо', 'РЯСјРќБт', 'БЄИэРќБт', 'КёУїЗЮНУНК', 'CS', 'ОЦИ№БзИАХи', 'М\xadРќБтРќ']"
120,DMZ 평화공원,"['시공테크', '퍼스텍', '누리플랜', '크라운해태홀딩스', '유진로봇', '웹스', '모헨즈', '용평리조트', '서희건설', '이화공영', '삼륭물산', '일신석재', '대창스틸', '딜리', '코아스', '자연과환경', '웰크론', '하이드로리튬', '시그네틱스', '씨아이테크']"
121,해저터널(지하화/지하도로 등),"['LS마린솔루션', '한국선재', '동아지질', '우원개발', 'LS', '특수건설', '부산산업', '세명전기']"
122,테마명,[]
123,테마명,[]
